length_url,length_hostname,length_path,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_parameters,has_https,has_port,has_fragment,label
25,14,4,1,0,0,4,0,0,0,0,0,phishing
39,21,11,2,0,0,4,5,0,0,0,0,legitimate
38,15,16,3,1,0,4,0,0,0,0,0,legitimate
129,8,27,2,1,7,6,3,1,1,0,0,phishing
52,15,29,2,2,0,5,0,0,1,0,0,legitimate
30,14,9,3,0,0,4,11,0,0,0,0,phishing
33,24,1,2,0,0,3,0,0,1,0,0,legitimate
118,27,84,3,6,0,5,9,0,0,0,0,legitimate
27,20,0,1,1,0,2,0,0,0,0,0,legitimate
78,16,55,3,0,3,9,13,0,0,0,0,legitimate
35,27,1,2,1,0,3,1,0,0,0,0,phishing
32,18,7,1,1,0,4,0,0,0,0,0,phishing
64,39,18,5,3,0,4,4,0,0,0,0,phishing
38,29,1,2,1,0,3,3,0,1,0,0,phishing
24,15,1,3,0,0,3,0,0,1,0,0,legitimate
68,15,46,3,0,0,5,0,0,0,0,0,legitimate
126,50,20,4,1,2,5,21,3,1,0,0,phishing
41,16,17,2,0,1,4,0,0,1,0,0,legitimate
48,16,24,2,0,2,4,0,0,1,0,0,legitimate
29,21,1,2,0,0,3,0,0,0,0,0,legitimate
24,15,1,2,0,0,3,0,0,1,0,0,legitimate
50,17,25,3,0,2,4,1,0,1,0,0,legitimate
126,50,19,4,1,2,4,15,3,0,0,0,phishing
39,11,20,2,0,0,6,0,0,1,0,0,legitimate
102,15,80,1,1,0,9,20,0,0,0,0,phishing
31,23,1,2,0,0,3,2,0,0,0,0,legitimate
86,22,34,3,1,0,4,24,1,0,0,0,phishing
78,16,54,2,4,0,8,8,0,1,0,0,legitimate
29,20,1,3,0,0,3,0,0,1,0,0,legitimate
33,12,6,2,0,0,3,7,1,0,0,0,legitimate
27,12,8,1,1,0,4,0,0,0,0,0,phishing
24,15,1,2,0,0,3,0,0,1,0,0,legitimate
39,20,11,2,0,0,4,0,0,1,0,0,legitimate
28,21,0,2,1,0,2,0,0,0,0,0,legitimate
87,24,2,2,0,0,3,11,1,0,0,0,phishing
43,18,18,2,0,1,4,0,0,0,0,0,legitimate
27,19,1,2,0,0,3,0,0,0,0,0,legitimate
101,17,77,2,9,0,7,8,0,0,0,0,legitimate
60,28,25,3,3,0,3,0,0,0,0,0,legitimate
38,13,10,3,0,0,3,0,1,0,0,0,legitimate
19,10,1,1,0,0,3,0,0,1,0,0,phishing
137,15,114,3,0,1,4,36,0,1,0,0,legitimate
263,179,47,14,1,2,5,34,2,0,0,0,phishing
22,6,8,1,0,0,3,4,0,1,0,0,phishing
89,21,36,3,0,1,6,1,2,0,0,0,phishing
28,19,1,2,0,0,3,0,0,1,0,0,legitimate
49,26,16,3,0,0,3,1,0,0,0,0,legitimate
45,36,1,4,2,0,3,3,0,1,0,0,phishing
30,22,1,2,0,0,3,0,0,0,0,0,phishing
54,10,37,2,1,0,5,0,0,0,0,0,phishing
29,22,0,2,0,0,2,0,0,0,0,0,legitimate
86,16,40,3,1,0,6,0,1,0,0,0,phishing
26,18,1,2,0,0,3,2,0,0,0,0,phishing
83,20,55,2,0,5,4,9,0,1,0,0,legitimate
49,28,13,2,1,0,3,0,0,1,0,0,phishing
33,12,6,2,0,0,3,7,1,0,0,0,legitimate
40,18,15,2,0,0,4,0,0,0,0,0,legitimate
56,18,31,2,3,0,5,0,0,0,0,0,legitimate
27,18,1,2,0,0,3,0,0,1,0,0,legitimate
70,33,30,3,4,0,3,0,0,0,0,0,legitimate
128,120,1,10,0,0,3,7,0,0,0,0,phishing
25,6,12,1,0,0,3,3,0,0,0,0,phishing
33,16,9,2,0,0,4,0,0,1,0,0,legitimate
52,16,28,2,1,0,4,0,0,1,0,0,legitimate
31,22,1,2,0,0,3,0,0,1,0,0,legitimate
41,32,1,2,0,0,3,4,0,1,0,0,phishing
33,24,1,2,0,0,3,0,0,1,0,0,legitimate
32,23,1,1,1,0,3,0,0,1,0,0,phishing
66,30,22,3,1,0,5,2,1,0,0,0,legitimate
85,14,63,2,7,0,7,8,0,1,0,0,legitimate
52,20,24,2,0,1,4,0,0,1,0,0,legitimate
109,19,82,3,8,0,4,6,0,1,0,0,legitimate
84,20,57,1,6,0,4,0,0,0,0,0,legitimate
110,16,17,2,1,0,5,14,1,1,0,0,phishing
171,25,72,2,1,0,7,52,3,0,0,0,phishing
17,9,1,1,0,0,3,0,0,0,0,0,legitimate
19,12,0,1,0,0,2,0,0,0,0,0,legitimate
98,14,77,4,0,1,10,28,0,0,0,0,phishing
32,24,1,2,0,0,3,0,0,0,0,0,phishing
28,20,0,3,0,0,2,0,0,1,0,0,legitimate
64,31,18,3,0,0,5,2,1,0,0,0,phishing
40,16,16,2,0,0,4,0,0,1,0,0,legitimate
132,32,92,2,1,2,7,15,0,1,0,0,phishing
124,24,83,2,2,4,7,6,1,1,0,0,phishing
51,18,26,2,0,0,6,0,0,0,0,0,phishing
141,48,85,2,0,0,5,41,0,1,0,0,phishing
126,50,19,4,1,2,4,16,3,0,0,0,phishing
21,14,0,2,0,0,2,0,0,0,0,0,legitimate
53,14,32,2,0,2,6,2,0,0,0,0,legitimate
27,18,1,2,0,0,3,0,0,1,0,0,legitimate
76,14,55,2,0,0,6,21,0,0,0,0,phishing
79,32,40,2,6,0,4,0,0,0,0,0,legitimate
77,23,47,1,0,0,5,16,0,0,0,0,phishing
35,18,9,2,0,0,5,0,0,1,0,0,legitimate
56,21,27,3,2,0,3,0,0,1,0,0,legitimate
49,22,20,3,0,0,5,4,0,0,0,0,legitimate
41,20,14,2,0,0,4,0,0,0,0,0,legitimate
84,20,57,2,0,0,5,23,0,0,0,0,phishing
29,20,1,2,0,0,3,0,0,1,0,0,legitimate
21,12,1,2,0,0,3,0,0,1,0,0,legitimate
35,13,15,3,0,1,3,0,0,0,0,0,legitimate
28,19,1,2,2,0,3,0,0,1,0,0,legitimate
97,25,39,5,0,0,7,0,1,1,0,0,phishing
36,14,15,1,0,0,4,0,0,0,0,0,phishing
63,19,36,3,2,0,4,0,0,1,0,0,legitimate
24,17,0,2,0,0,2,0,0,0,0,0,legitimate
40,33,0,2,0,0,2,1,0,0,0,0,phishing
85,17,61,2,1,0,10,0,0,0,0,0,phishing
56,39,10,5,2,0,3,6,0,0,0,0,phishing
49,11,31,2,0,0,6,0,0,0,0,0,phishing
23,10,5,1,0,0,3,0,0,1,0,0,phishing
64,16,40,2,1,0,7,0,0,1,0,0,phishing
46,20,18,3,1,0,6,2,0,1,0,0,phishing
36,9,20,2,0,0,5,0,0,0,0,0,phishing
29,22,0,2,0,0,2,2,0,0,0,0,legitimate
55,28,20,2,1,0,4,3,0,0,0,0,phishing
45,25,13,2,0,0,3,0,0,0,0,0,legitimate
33,25,1,2,0,0,3,0,0,0,0,0,legitimate
231,23,34,3,1,1,6,92,3,1,0,0,phishing
30,17,5,2,0,0,3,0,0,1,0,0,phishing
31,23,1,2,0,0,3,0,0,0,0,0,legitimate
27,18,1,2,1,0,3,0,0,1,0,0,legitimate
81,27,47,2,0,0,5,21,0,0,0,0,phishing
58,16,34,2,4,0,3,7,0,1,0,0,legitimate
28,19,1,2,0,0,3,0,0,1,0,0,legitimate
25,16,1,2,0,0,3,0,0,1,0,0,legitimate
87,13,67,5,0,0,7,2,0,0,0,0,phishing
28,19,1,2,0,0,3,0,0,1,0,0,legitimate
133,13,112,2,12,0,8,8,0,1,0,0,legitimate
26,17,1,3,0,0,3,0,0,1,0,0,legitimate
36,15,14,1,0,0,6,0,0,0,0,0,phishing
29,15,6,1,0,0,3,0,0,1,0,0,phishing
37,28,1,2,1,0,3,0,0,1,0,0,phishing
33,24,1,2,0,0,3,0,0,1,0,0,legitimate
47,15,25,2,4,0,3,0,0,0,0,0,legitimate
26,17,1,2,0,0,3,3,0,1,0,0,legitimate
93,22,37,5,1,0,6,2,1,0,0,0,phishing
44,27,10,4,0,0,4,0,0,0,0,0,legitimate
34,26,1,2,0,0,3,0,0,0,0,0,phishing
63,22,34,2,5,0,4,0,0,0,0,0,legitimate
56,36,12,5,2,0,3,9,0,1,0,0,phishing
28,20,0,2,0,0,2,3,0,1,0,0,phishing
51,21,23,3,4,0,3,0,0,0,0,0,legitimate
50,16,27,3,0,0,4,3,0,0,0,0,phishing
70,17,46,3,1,0,6,6,0,0,0,0,legitimate
41,12,11,2,0,1,4,2,1,0,0,0,legitimate
74,17,50,2,4,0,4,7,0,0,0,0,legitimate
26,17,1,2,0,0,3,0,0,1,0,0,legitimate
114,19,87,3,10,0,5,6,0,1,0,0,legitimate
49,26,16,1,1,0,4,0,0,0,0,0,phishing
26,17,1,2,0,0,3,0,0,1,0,0,legitimate
42,14,20,2,1,0,5,0,0,1,0,0,legitimate
28,19,1,1,0,0,3,0,0,1,0,0,legitimate
29,20,1,2,0,0,3,0,0,1,0,0,legitimate
32,15,10,2,0,0,4,0,0,0,0,0,legitimate
34,25,1,2,1,0,3,1,0,1,0,0,phishing
51,27,7,2,1,0,4,0,1,0,0,0,phishing
78,17,53,2,7,0,4,0,0,1,0,0,legitimate
43,29,7,4,0,0,3,0,0,0,0,0,phishing
154,32,94,2,1,3,7,14,2,1,1,0,phishing
35,26,1,3,0,0,3,0,0,1,0,0,legitimate
54,22,25,3,1,0,3,0,0,0,0,0,legitimate
35,27,1,2,0,0,3,0,0,0,0,0,legitimate
25,16,1,1,0,0,3,0,0,1,0,0,legitimate
27,19,1,2,0,0,3,0,0,0,0,0,legitimate
61,12,24,4,0,0,5,9,1,0,0,0,phishing
41,30,4,2,0,0,3,0,0,0,0,0,phishing
47,13,27,2,0,0,6,0,0,0,0,0,phishing
19,11,1,2,0,0,3,0,0,0,0,0,legitimate
38,18,12,2,1,0,3,0,0,1,0,0,legitimate
64,19,38,3,3,0,5,6,0,0,0,0,legitimate
271,20,78,5,0,1,10,84,3,0,0,0,phishing
50,10,33,1,0,0,7,0,0,0,0,0,phishing
80,23,49,3,6,0,5,7,0,1,0,0,legitimate
67,28,31,2,0,0,6,0,0,1,0,0,phishing
282,30,60,3,1,4,7,59,4,1,0,0,phishing
144,37,90,2,2,3,7,6,1,1,0,0,phishing
52,20,25,1,1,0,5,4,0,0,0,0,phishing
28,19,1,2,0,0,3,0,0,1,0,0,legitimate
50,20,22,3,0,0,5,0,0,1,0,0,legitimate
60,19,19,3,1,0,5,13,2,0,0,0,legitimate
87,18,61,2,4,0,4,2,0,1,0,0,legitimate
35,18,10,3,0,0,3,4,0,0,0,0,phishing
102,15,30,4,0,0,7,25,1,0,0,0,phishing
63,23,1,2,0,0,3,9,1,1,0,0,legitimate
36,27,1,2,1,0,3,0,0,1,0,0,phishing
21,12,1,2,0,0,3,0,0,1,0,0,legitimate
238,17,6,3,8,1,3,75,4,1,0,0,phishing
36,13,16,4,0,0,3,10,0,0,0,0,phishing
38,29,1,2,0,0,3,0,0,1,0,0,legitimate
88,14,67,5,2,0,7,15,0,0,0,0,phishing
29,21,1,2,0,0,3,0,0,0,0,0,phishing
27,17,3,2,0,0,3,0,0,0,0,0,phishing
101,15,78,2,1,0,7,11,0,1,0,0,phishing
18,11,0,2,0,0,2,0,0,0,0,0,legitimate
27,15,5,2,0,0,4,0,0,0,0,0,phishing
28,15,5,2,0,0,3,1,0,1,0,0,legitimate
36,14,15,1,1,0,4,1,0,0,0,0,phishing
53,14,32,2,0,2,4,0,0,0,0,0,legitimate
66,13,46,3,1,0,7,10,0,0,0,0,phishing
35,26,1,2,0,0,3,0,0,1,0,0,phishing
27,13,6,1,0,0,3,1,0,1,0,0,phishing
21,13,1,3,0,0,3,10,0,0,0,0,phishing
123,19,97,2,15,0,4,7,0,0,0,0,legitimate
47,18,22,4,0,0,4,0,0,0,0,0,legitimate
59,15,36,3,3,0,4,2,0,1,0,0,legitimate
15,4,4,1,0,0,3,1,0,0,0,0,phishing
26,18,1,2,0,0,3,0,0,0,0,0,legitimate
82,36,20,5,3,0,4,9,1,1,0,0,phishing
77,16,53,2,0,3,6,0,0,1,0,0,legitimate
38,13,17,3,0,0,5,3,0,1,0,0,phishing
39,32,0,2,0,0,2,0,0,0,0,0,phishing
42,15,19,2,0,0,4,0,0,1,0,0,legitimate
33,19,6,2,0,0,4,0,0,1,0,0,legitimate
53,36,1,2,3,0,3,0,1,0,0,0,phishing
44,16,21,3,1,0,4,2,0,0,0,0,legitimate
23,15,1,2,0,0,3,0,0,0,0,0,legitimate
17,10,0,1,0,0,2,0,0,0,0,0,legitimate
26,18,1,2,0,0,3,0,0,0,0,0,legitimate
129,54,20,5,1,2,5,20,3,0,0,0,phishing
42,34,1,2,2,0,3,5,0,0,0,0,phishing
52,19,26,2,0,0,4,2,0,0,0,0,legitimate
27,19,1,2,0,0,3,1,0,0,0,0,legitimate
43,14,22,3,0,0,5,6,0,0,0,0,legitimate
28,20,1,2,1,0,3,0,0,0,0,0,legitimate
97,21,68,3,1,0,7,4,0,1,0,0,legitimate
28,20,1,2,0,0,3,0,0,0,0,0,phishing
27,19,1,2,0,0,3,0,0,0,0,0,legitimate
35,19,9,3,0,0,3,0,0,0,0,0,phishing
62,19,35,2,2,0,4,0,0,1,0,0,legitimate
127,50,19,4,1,2,4,24,3,1,0,0,phishing
29,22,0,2,0,0,2,2,0,0,0,0,phishing
33,16,10,2,0,0,4,0,0,0,0,0,phishing
72,17,30,3,1,0,5,6,2,0,0,0,legitimate
33,25,0,2,0,0,2,0,0,1,0,0,legitimate
40,18,15,2,0,0,4,0,0,0,0,0,legitimate
61,42,12,5,2,0,3,1,0,0,0,0,phishing
51,32,12,2,0,0,5,0,0,0,0,0,legitimate
44,10,26,1,3,0,3,0,0,1,0,0,legitimate
259,12,240,2,1,0,4,31,0,0,0,0,phishing
57,21,29,2,0,0,7,0,0,0,0,0,phishing
31,22,1,2,0,0,3,0,0,1,0,0,legitimate
47,15,25,3,0,0,5,0,0,0,0,0,phishing
93,26,60,3,6,0,5,0,0,0,0,0,legitimate
49,18,24,2,1,0,4,0,0,0,0,0,legitimate
22,13,1,2,0,0,3,0,0,1,0,0,legitimate
45,21,16,2,0,0,4,0,0,1,0,0,legitimate
105,29,59,2,1,0,6,10,1,1,0,0,phishing
109,21,3,4,0,0,4,7,1,1,0,0,phishing
40,33,0,2,0,0,2,0,0,0,0,0,legitimate
24,5,12,1,0,0,3,5,0,0,0,0,phishing
37,17,13,2,0,0,5,0,0,0,0,0,phishing
152,13,131,2,20,0,3,0,0,1,0,0,legitimate
124,46,20,5,0,2,5,22,3,1,0,0,phishing
35,15,13,2,0,0,3,4,0,0,0,0,phishing
126,50,19,4,1,2,4,24,3,0,0,0,phishing
51,24,20,3,1,0,5,7,0,0,0,0,legitimate
126,61,10,3,4,2,3,47,1,0,0,0,phishing
49,25,17,2,0,0,3,0,0,0,0,0,legitimate
46,17,21,2,1,0,4,0,0,1,0,0,legitimate
31,16,7,2,0,0,3,0,0,1,0,0,legitimate
45,15,23,2,0,2,4,0,0,0,0,0,legitimate
36,27,1,2,0,0,3,0,0,1,0,0,legitimate
56,29,20,2,0,2,4,5,0,0,0,0,legitimate
54,19,28,2,0,0,4,2,0,0,0,0,legitimate
76,50,19,4,1,0,4,9,0,0,0,0,phishing
29,20,1,2,0,0,3,0,0,1,0,0,legitimate
70,16,46,2,1,1,6,4,0,1,0,0,phishing
22,14,1,3,0,0,3,11,0,0,0,0,phishing
46,38,1,2,0,0,3,0,0,0,0,0,legitimate
53,15,31,2,4,0,3,0,0,0,0,0,legitimate
105,20,78,5,0,0,10,1,0,0,0,0,phishing
64,18,22,2,0,0,6,13,1,1,0,0,legitimate
29,20,1,2,0,0,3,0,0,1,0,0,legitimate
47,18,22,3,0,0,4,0,0,0,0,0,legitimate
126,61,10,3,4,2,3,39,1,0,0,0,phishing
37,28,1,2,0,0,3,0,0,1,0,0,legitimate
42,20,14,2,0,0,5,0,0,1,0,0,legitimate
15,8,0,1,0,0,2,0,0,0,0,0,legitimate
44,13,24,3,0,0,4,7,0,0,0,0,legitimate
71,23,41,3,1,3,4,0,0,0,0,0,legitimate
72,25,20,2,0,0,5,2,1,1,0,0,phishing
48,24,16,3,0,0,4,0,0,1,0,0,legitimate
29,22,0,2,1,0,2,2,0,0,0,0,legitimate
71,17,46,2,2,0,5,15,0,1,0,0,legitimate
32,24,1,2,0,0,3,1,0,0,0,0,legitimate
59,18,34,2,0,0,4,23,0,0,0,0,phishing
55,28,20,2,1,0,3,0,0,0,0,0,phishing
26,17,1,2,0,0,3,0,0,1,0,0,legitimate
